CODE_BARRES	NOM_COMMERCIAL	PRINCIPE_ACTIF	DOSAGE	EQUIVALENTS
1013278032780				
1051620016200				
1052186021860				
1101600016000				
1103580035800				
1103780037800				
1104810048100				
1110960730600				
1115101904500				
1141000010000				
1141228012280				
1141758010000				
1201428014280				
1207220072200				
1209400094000				
1230970770600				
1251145500000				
1251289680000				
1281445014450				
1281800018000				
1281980019800				
1282150021500				
2513026202620				
5135600135600				
6118000010050	ABBOTICINE	ERYTHROMYCINE	200 MG	ERY 125 MG [6118000240310] | ERY 250 MG [6118000240327] | ERY 500 MG [6118000240334] | ERYACNE [6118001071241] | ERYACNE [6118010035005] | ERYFLUID [6118000010630] | ERYSOL [6118001150496] | ERYTHROCINE [6118000010647] | ERYTHROCINE [6118000010654] | ERYTHROCINE [6118000010661] | MACROCID [6118000090434] | STIMYCINE [6118000050834]
6118000010067	ACTAPULGITE	ATTAPULGITE DE MORMOIRON ACTIVEE	3 G	COLOPATHIL [6118000190288]
6118000010074	ACTAPULGITE NOURRISSONS	ATTAPULGITE DE MORMOIRON ACTIVEE	1 G	ACTAPULGITE [6118000010067] | COLOPATHIL [6118000190288] | COLOPATHIL [6118000190295]
6118000010081	ACTI-5	DEANOL / MAGNESIUM	100 / 25 MG / MG	
6118000010098	ADEPAL	LEVONORGESTREL / ETHINYLESTRADIOL	0.15 / 0.03 MG / MG	MICROGYNON 30 [6118001200108] | MINIDRIL [6118000011002]
6118000010104	ADEPAL	LEVONORGESTREL / ETHINYLESTRADIOL	0.15 / 0.04 MG / MG	ADEPAL [6118000010098] | DAILY GÉ [6118001183845] | DAILY GÉ [6118001183852] | MICROGYNON 30 [6118001200108] | MINIDRIL [6118000011002] | TRIGYNON [6118001200320] | TRINORDIOL [6118001182428]
6118000010111	AGREAL	VERALIPRIDE	100 MG	
6118000010135	ALODONT	CETYLLPYRIDINIUM / CHLOROBUTANOL HEMYDRATE	5 / 50 MG / MG	
6118000010142	ALVITYL	VITAMINES	NA	ALVITYL [6118001180486]
6118000010159	APURONE	FLUMEQUINE	400 MG	
6118000010166	ARTHROL LINIMENT	SALISYLATE DE PHENYLPROPYL / METHOXYSALICYLATE DETHYLE	10 / 2 G / G	
6118000010210	AVD VIT B1 C DEROL ADULTE	ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1)	400 / 2 MG / MG	AVT [6118000031079] | AVT [6118000031086]
6118000010227	AVLOCARDYL	PROPRANOLOL	40 MG	AVLOCAN [6118000090151]
6118000010234	BEDELIX	MONTMORILLONITE BEIDELLITIQUE	3 G	
6118000010258	BENADRYL	DIPHENHYDRAMINE	3.5 G	
6118000010265	BOLINAN	POVIDONE	2 G	BOLINAN [6118000010272]
6118000010272	BOLINAN	POVIDONE	2 G	BOLINAN [6118000010265]
6118000010296	CLEREGIL AD	ACEGLUMATE DE DEANOL	2 G	CLEREGIL ENF [6118000010302]
6118000010302	CLEREGIL ENF	ACEGLUMATE DE DEANOL	0.5 G	CLEREGIL AD [6118000010296]
6118000010319	COLLU-HEXTRIL	HEXETIDINE	0.2 G	COLLU-HEXTRIL [6118000250746]
6118000010326	CONTALAX	BISACODYL	5 MG	
